# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 4196, mean track length: 4.2
0 -0.03554490096464491 -0.2046177023082288 1.161560601716317 151 137 114 0.94
1 -0.01209798286512409 -0.221961765381325 1.150987718736093 159 138 114 0.68
2 -0.05282039921074289 -0.2041953407885777 1.144170600519088 163 152 127 1.1
3 -0.02049555478329246 -0.1729029280082062 1.181285613539112 155 145 128 0.62
4 -0.03214994508295155 -0.171989187573597 1.181997211525413 116 105 94 0.57
5 -0.05381255973513699 -0.1822807413300748 1.149412942436498 68 58 51 0.58
6 -0.02348135520192918 -0.2018657414155861 1.147905490979597 77 60 48 0.44
7 -0.01375383789338858 -0.1626735983947999 1.18225924044718 129 118 109 0.66
8 -0.01205262050089984 -0.1563490791287047 1.182551254265972 153 137 119 0.59
9 -0.5281950891179656 0.181592837146856 1.221586205134848 45 34 23 0.79
10 -0.04405528764267019 -0.1667869640376429 1.167527778767274 83 67 58 0.76
11 -0.05514413532435092 -0.1653239011025229 1.152596970219078 138 124 107 0.47
12 -0.0545302604325949 -0.1526767360411551 1.151874003142385 77 58 50 0.55
13 -0.06848795881560188 -0.1447671734529497 1.145449032658517 72 59 55 0.34
14 -0.002999000526877627 -0.1416701420905424 1.184113327397765 129 121 120 0.27
15 -0.07172162438129737 -0.1741645149468076 1.115052846692412 112 68 42 0.59
16 -0.08506413036984006 -0.1551152612679365 1.10479255095524 73 61 62 1.01
17 -0.07226196484909464 -0.1377164547564577 1.141371542842915 157 139 117 0.42
18 -0.09278293462372333 -0.1306731362406026 1.117967957627495 175 142 85 0.21
19 -0.07932308009804179 -0.1078605241477327 1.137058598955635 82 59 50 0.37
20 -0.09007777667117411 -0.09219456908982301 1.13741719668342 95 67 41 0.18
21 -0.03998955053156528 -0.08567605849855761 1.183287583395153 80 62 52 1.01
22 -0.1085657672925567 -0.09660706889250412 1.092240502815469 64 44 33 0.84
23 -0.07834291787227432 -0.03796454471281333 1.165704195050187 87 71 56 0.5
24 -0.08179151533981477 -0.04997744088923414 1.154300634523033 163 126 94 0.78
25 -0.1356060300387124 -0.05363972083698546 1.112688163189844 99 65 43 0.54
26 -0.1353964849360205 -0.05392016570146266 1.112660683634854 107 74 54 0.84
27 -0.1089555050203612 -0.03738142477518638 1.130651613048319 100 69 51 0.43
28 -0.1101492653337558 -0.03283631880382146 1.132467196948066 88 60 44 0.53
29 -0.1456122823873521 -0.02405600426671775 1.09978813975865 144 104 62 0.26
30 -0.1346435322488192 -0.03518659505873808 1.088232086920395 94 58 24 0.38
31 -0.104305364934512 -0.06293854839224808 1.06962714052059 178 148 104 0.48
32 -0.1430642184466817 -0.005224791335524781 1.109768189487277 145 120 95 0.73
33 -0.1515308908308098 0.03553399749476116 1.102737525676849 88 66 42 0.35
34 -0.1532273689988333 0.0399227847973333 1.050464948211914 165 121 77 0.44
35 -0.1513584101296453 0.04523853681240014 1.048628431724392 187 142 94 0.36
36 -0.1938022782829102 0.08905641247771195 1.072159187737131 78 51 35 0.56
37 -0.1630036353261954 0.0570683516858351 1.043245506134123 126 90 53 0.77
38 -0.5386677802851383 0.2210822503390643 1.232284359552773 94 83 76 0.65
39 -0.5333477760052401 0.2310846536483535 1.240324868792371 80 56 41 0.41
40 -0.1964401925303214 0.1048290313620962 1.076783553645994 180 141 102 1.54
