# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 31150, mean track length: 5.44
0 -0.02808630292790941 -0.2169682613995786 1.150956053097019 103 79 60 0.69
1 -0.02548203300705983 -0.2310647860237849 1.119750083645173 69 49 39 0.46
2 -0.05363881009528132 -0.1922560812149315 1.126958485809918 151 129 101 0.69
3 -0.02077983906262349 -0.2327844155826389 1.113065443334758 62 46 39 0.6
4 -0.02067961145894478 -0.1694016879942715 1.164360259410085 75 57 46 0.64
5 0.01503166033894713 -0.1633707065826511 1.190874136831343 158 136 113 0.47
6 -0.07051112958399522 -0.1434979594037435 1.133212494836134 78 52 38 0.5
7 0.02887015824153153 -0.1237034184707392 1.206823186983877 149 167 188 0.59
8 0.064647232730212 -0.1065548494290854 1.029564812122908 32 25 24 0.16
9 -0.08140227015820271 -0.05009754875816268 1.14289424628285 75 54 42 0.19
10 -0.05409399693263739 -0.04047650728912181 1.172891097732195 93 62 44 0.45
11 -0.07552730116533116 -0.03649334137440464 1.14941778110107 69 48 38 0.9
12 -0.1063397728541885 -0.01460330546714832 1.130570799777129 71 50 37 0.32
13 -0.09174995517618278 -0.01091427553318636 1.141359920780454 58 36 25 0.39
14 -0.09540306794864954 0.002668200393015114 1.142989479988301 151 124 94 0.32
15 -0.09844715769707614 0.004198465011443255 1.139444353554173 85 52 34 0.41
16 -0.116914701347689 0.04036361820883928 1.129240483799116 173 147 115 0.46
17 -0.08669695173431438 0.06401307513250747 1.159255632890669 132 102 74 0.64
18 -0.006358735796238342 0.02381663062585331 0.9200495145902018 53 46 42 0.36
19 -0.08258696251189238 0.133601019788423 1.171382669355764 130 90 57 0.39
20 -0.1223563347979493 0.1604473541442553 1.13678735736252 137 89 55 0.46
21 -0.1852154606381153 0.1486037981295321 1.082620734258084 87 48 31 0.27
22 -0.1306989457741614 0.1758127280443599 1.117917607953959 162 123 93 0.45
23 -0.183420351256712 0.1933165653714046 1.079458222503841 87 43 22 0.64
24 -0.08129766284576755 -0.1024404640817248 1.093326277164298 81 63 55 0.21
25 -0.001562591965216844 -0.04741637460690925 1.199212461125684 156 127 94 0.32
26 0.04891583757140609 -0.05456395925665694 0.9818883518504901 122 109 94 0.22
