image_name	left	top	right	bottom	scaled_width	scaled_height
IMG_2405.JPG	0.00000000	0.00000000	518.00000000	350.00000000	518.00000000	350.00000000
IMG_2406.JPG	0.00000000	0.00000000	518.00000000	350.00000000	518.00000000	350.00000000
IMG_2407.JPG	0.00000000	0.00000000	518.00000000	350.00000000	518.00000000	350.00000000
IMG_2408.JPG	0.00000000	0.00000000	518.00000000	350.00000000	518.00000000	350.00000000
IMG_2409.JPG	0.00000000	0.00000000	518.00000000	350.00000000	518.00000000	350.00000000
IMG_2410.JPG	0.00000000	0.00000000	518.00000000	350.00000000	518.00000000	350.00000000
IMG_2411.JPG	0.00000000	0.00000000	518.00000000	350.00000000	518.00000000	350.00000000
IMG_2412.JPG	0.00000000	0.00000000	518.00000000	350.00000000	518.00000000	350.00000000
IMG_2413.JPG	0.00000000	0.00000000	518.00000000	350.00000000	518.00000000	350.00000000
IMG_2414.JPG	0.00000000	0.00000000	518.00000000	350.00000000	518.00000000	350.00000000
IMG_2415.JPG	0.00000000	0.00000000	518.00000000	350.00000000	518.00000000	350.00000000
IMG_2416.JPG	0.00000000	0.00000000	518.00000000	350.00000000	518.00000000	350.00000000
IMG_2417.JPG	0.00000000	0.00000000	518.00000000	350.00000000	518.00000000	350.00000000
IMG_2418.JPG	0.00000000	0.00000000	518.00000000	350.00000000	518.00000000	350.00000000
IMG_2419.JPG	0.00000000	0.00000000	518.00000000	350.00000000	518.00000000	350.00000000
IMG_2420.JPG	0.00000000	0.00000000	518.00000000	350.00000000	518.00000000	350.00000000
